FIP,State,CD116,Longitude,Latitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20
22-04,LA,04,-93.53969603317294,32.26948927975593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,5,6,9,22,31,31,67,77,151,190,234,307,358,382,444,551,640,738,1036,1119,1244,1329,1434
22-05,LA,05,-91.4775310641675,31.49537884252191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,11,11,29,32,46,76,94,130,147,176,228,303,361,425,622,694,818,955,1027
22-06,LA,06,-90.9653716483028,30.388956653200427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,8,19,35,35,80,106,131,189,221,268,294,346,440,480,778,889,1280,1338,1590,1772,1856
23-01,ME,01,-70.40916890669082,43.74671345405797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,22,29,30,44,54,68,87,99,120,127,136,170,205,226,248,248,303,340,356,369,388,399,414
23-02,ME,02,-69.58015602330434,44.763817213826094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,6,9,10,13,13,15,19,20,27,29,38,43,44,49,49,65,81,88,90,100,111,115
24-01,MD,01,-76.04114227232877,39.221126692100455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,4,8,12,13,16,18,20,26,41,52,58,62,64,84,95,109,125,142,152,176,219
24-02,MD,02,-76.62911955,39.45784712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,6,10,12,13,19,28,35,42,51,81,103,141,162,186,227,289,353,427,491,590,648,652,866
24-04,MD,04,-76.78500477557432,38.876881092331075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,8,9,11,17,24,28,40,51,58,67,87,107,142,211,284,346,404,468,561,679,812,942,1104,1259,1390,1776
24-05,MD,05,-76.81943971546099,38.47037646808511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,5,8,7,10,13,21,30,37,47,54,70,93,118,150,162,190,210,223,282
24-06,MD,06,-77.27259217215497,39.209576273431736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,6,6,6,7,16,25,32,34,52,69,85,103,116,141,185,231,286,334,377,435,500,564,652,748,856,977,1076,1355
24-07,MD,07,-76.71519300407101,39.28620889305326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,12,24,29,34,48,57,71,88,121,150,185,210,248,304,363,417,479,523,593,649,695,845
24-08,MD,08,-77.02373735,39.56453592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,4,3,4,5,5,5,7,9,10,82,82,92,96,105,129,134,142,150,159,186
25-01,MA,01,-72.75055154859766,42.18389493586638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7,9,9,9,9,12,15,19,21,23,30,35,41,61,116,128,195,302,352,417,525,658,759,901,986,1026,1157,1275,1362
25-02,MA,02,-72.03388235154725,42.36633227561826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,6,8,11,16,22,32,47,54,91,154,199,263,360,415,485,563,716,854,1028,1135,1206,1331,1448,1577
25-03,MA,03,-71.39049229,42.48607732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,15,41,49,60,65,65,83,89,100,119,144,177,199,232,304,446,538,685,842,981,1141,1340,1582,1870,2202,2468,2632,2950,3187,3545
25-04,MA,04,-71.10872211,41.79228404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,5,6,6,14,24,25,31,67,90,129,179,208,263,306,366,424,517,601,659,722,768,835
25-06,MA,06,-70.94687179,42.6687626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,5,8,8,14,19,29,41,60,73,118,177,247,350,472,570,653,784,885,1039,1238,1400,1506,1653,1841,2103
25-07,MA,07,-71.07850442,42.3279514,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,8,8,10,20,22,26,27,27,36,42,51,72,86,108,126,154,234,342,448,631,843,940,1115,1373,1624,1896,2183,2429,2658,2929,3245,3600
25-08,MA,08,-71.20530408,42.16073095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,6,10,22,24,24,28,28,36,43,45,52,64,69,75,82,129,222,292,393,490,548,628,738,829,938,1045,1199,1271,1382,1592,1778
25-09,MA,09,-70.68251109771931,41.885081395761176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,7,10,20,32,50,63,106,155,208,291,413,481,561,658,827,916,1075,1244,1327,1467,1617,1767
26-01,MI,01,-85.61271383606896,45.30690616896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,7,15,18,18,23,32,38,45,57,64,69,82,94,110,120,141,145
26-02,MI,02,-86.06221564019418,43.13220502407767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,6,13,20,21,24,29,32,41,49,52,52,65,72,75,80,82,99,103
26-03,MI,03,-85.42369677735508,42.87225993539855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,5,7,12,23,25,32,36,43,51,57,67,90,118,131,150,159,178,198,221,233,246,276
26-04,MI,04,-84.6555053304717,43.31840958056604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,5,8,12,12,18,21,28,34,41,48,63,69,89,114,129,141,154,168,197,212
26-05,MI,05,-83.78590322488371,43.1219995552537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,9,17,27,44,59,78,110,134,157,196,247,332,449,533,596,658,743,829,946
26-06,MI,06,-85.94531518975,42.131069087449994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,12,18,25,34,45,58,69,77,94,105,126,138,156,167,186,200
26-07,MI,07,-83.99885546066292,42.188855919691875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,8,9,9,19,22,35,44,52,72,110,144,216,265,328,390,456,585,674,744,810,859,909,966,1071
26-08,MI,08,-84.16273056757257,42.599856430026385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,7,10,17,19,21,28,34,43,57,73,102,137,171,223,241,273,297,307,321,344,379
26-10,MI,10,-82.92594774089837,42.72627710348595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,10,12,59,93,108,148,183,235,296,366,428,561,653,772,912,1158,1432,1677,1987,2181,2358,2646,2883
26-11,MI,11,-83.38595416,42.66090111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,9,14,16,59,105,184,230,277,329,428,543,668,824,1018,1170,1365,1591,1910,2183,2540,2785,3035,3380,3736,4007
26-13,MI,13,-83.281255,42.28098405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,8,14,14,23,44,67,102,477,638,876,1122,1389,1810,2316,2704,3195,3735,4470,5069,6096,6762,7518,8270,9045,9626
