District,Longitude,Latitude,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20,11/18/20,11/19/20,11/20/20,11/21/20,11/22/20,11/23/20,11/24/20,11/25/20,11/26/20,11/27/20,11/28/20,11/29/20,11/30/20,12/1/20,12/2/20,12/3/20,12/4/20,12/5/20,12/6/20,12/7/20,12/8/20,12/9/20,12/10/20,12/11/20,12/12/20,12/13/20,12/14/20,12/15/20,12/16/20,12/17/20,12/18/20,12/19/20,12/20/20,12/21/20,12/22/20,12/23/20,12/24/20,12/25/20,12/26/20,12/27/20,12/28/20,12/29/20,12/30/20,12/31/20,1/1/21,1/2/21,1/3/21,1/4/21,1/5/21,1/6/21,1/7/21,1/8/21,1/9/21,1/10/21,1/11/21,1/12/21,1/13/21,1/14/21,1/15/21,1/16/21,1/17/21,1/18/21,1/19/21,1/20/21,1/21/21,1/22/21,1/23/21,1/24/21,1/25/21,1/26/21,1/27/21,1/28/21,1/29/21,1/30/21,1/31/21,2/1/21,2/2/21,2/3/21,2/4/21,2/5/21,2/6/21,2/7/21,2/8/21,2/9/21,2/10/21,2/11/21,2/12/21,2/13/21,2/14/21,2/15/21,2/16/21,2/17/21,2/18/21
AZ-03,-112.34890,33.10752,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,6,6,12,13,16,29,43,62,99,164,242,301,376,503,576,700,879,992,1091,1201,1332,1501,1702,1852,1915,2029,2208,2291,2490,2590,2698,2751,2858,3038,3237,3363,3521,3597,3724,3847,4024,4206,4354,4525,4651,4797,4969,5246,5456,5755,5945,6131,6343,6600,6699,7083,7373,7456,7635,7893,8052,8357,8640,8949,9129,9243,9467,9649,9902,10055,10322,10473,10611,10710,10934,11288,11608,12109,12513,12649,13397,14133,14360,15477,16241,17195,17772,18168,19320,20302,21471,22594,23572,24304,26208,27822,29772,32311,34963,36919,38719,41493,42848,45268,48099,51114,54185,54463,58367,62455,65183,68840,71074,73898,76790,79775,82674,86095,89633,92086,94093,95258,98555,101115,103902,107191,109410,111225,112645,115210,116934,118814,121493,124586,126157,127614,129273,131292,133313,136059,138380,139542,140311,141216,142679,143958,145072,145931,146595,147038,147841,148371,149467,150212,150875,151670,152010,152642,153140,153650,154057,154866,155004,155242,155937,156063,156423,156778,157244,157553,157677,158022,158372,159313,159840,160463,160627,160779,160851,161174,161491,161915,162433,162708,162885,163300,163832,165415,166373,166913,167285,167473,167936,168236,168554,168852,169125,169459,169665,170155,170333,170850,171227,171704,171991,172280,172864,173326,173979,174485,175114,175589,175954,176448,177104,177814,178317,178986,179580,180191,180857,181616,182276,182960,183566,184644,185278,186156,186917,187824,189061,190403,191670,192164,193373,193959,195499,197136,198878,200399,200699,203279,204598,205588,207973,210426,212297,213396,215420,217793,221009,224033,226397,229737,231786,235060,238087,240575,243787,246838,249078,249491,257949,260766,264935,269142,274034,277894,278838,288236,291592,294962,300066,306010,310278,319081,322465,326250,330703,336504,340430,344363,350244,354472,359107,364456,369433,374019,374401,382895,384745,388758,394351,402049,409303,423364,427425,431751,437420,445002,453553,462002,471277,478620,484948,489271,495066,502268,509161,514962,519382,524688,528277,535325,541637,547407,553197,557711,561219,565603,569404,573547,577508,581645,584661,586796,588519,592215,595200,598058,599227,601125,604656,606362,607802,609848,611183,612683,613740,614658,615620,616388
AZ-04,-113.22432,33.41010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,5,7,11,15,20,20,24,33,39,51,52,62,64,68,76,78,84,85,85,90,92,97,94,102,107,113,113,115,119,131,135,136,147,153,157,162,171,191,199,204,215,236,271,307,337,370,392,410,421,454,554,576,622,682,685,770,772,794,848,864,960,1029,1033,1163,1209,1308,1313,1378,1511,1544,1716,1952,2099,2320,2377,2784,2816,2954,3040,3207,3600,3798,3809,4087,4180,4191,4399,4877,5250,5493,5549,5928,6142,6443,6667,6872,7057,7253,7640,7923,8157,8375,8635,8992,9113,9303,9545,9705,9870,10062,10277,10396,10698,10981,11107,11274,11406,11680,11776,12158,12221,12342,12553,12825,13033,13199,13379,13514,13705,13891,14150,14266,14376,14422,14565,14664,14779,14875,14902,15020,15102,15168,15253,15342,15475,15499,15538,15596,15631,15688,15785,15847,15857,15892,15923,15940,16012,16048,16102,16137,16145,16189,16203,16245,16281,16310,16338,16351,16360,16396,16420,16468,16488,16517,16536,16554,16581,16652,16706,16762,16801,16828,16866,16885,16944,17014,17055,17075,17094,17154,17186,17265,17359,17416,17431,17431,17525,17550,17610,17686,17770,17820,17848,17919,17987,18050,18151,18270,18323,18375,18460,18494,18622,18747,18826,18951,19015,19112,19160,19261,19368,19562,19640,19740,19837,19894,20069,20136,20434,20610,20634,20846,21159,21269,21477,21829,22042,22209,22508,22794,22990,23391,23924,24453,24736,25014,25506,25730,26226,26668,27037,27271,27977,28351,28695,29158,29822,30530,30817,31840,32361,32859,33511,34286,35095,36500,36356,36799,37186,38064,38596,39128,39795,40264,40856,41289,41929,42575,42948,43412,43688,44022,44666,45417,46174,47321,47586,47838,48360,48969,50140,50967,51753,52203,52544,52859,53280,54020,54666,55098,55454,55933,56213,56614,57032,57585,57931,58248,58473,58688,58898,59115,59345,59633,59790,59948,60050,60246,60385,60552,60736,60821,61012,61039,61090,61201,61259,61379,61445,61530,61596,61677
AR-01,-91.02417,35.45796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,49,55,67,82,88,96,101,111,125,147,154,172,189,216,225,262,281,332,351,362,375,442,469,483,511,565,597,604,762,767,969,1198,1304,1333,1366,1411,1427,1441,1532,1551,1563,1598,1630,1665,1715,1745,1763,1763,1993,2008,2059,2084,2134,2173,2194,2210,2240,2279,2309,2596,2646,2680,2704,2730,2763,2775,2829,2876,2938,2971,3003,3068,3107,3152,3186,3286,3322,3359,3445,3522,3563,3804,4019,4132,4184,4219,4288,4332,4429,4496,4550,4611,4693,4761,4889,4975,5057,5134,5191,5242,5409,5517,5637,5731,5799,5863,5904,6020,6148,6237,6351,6420,6523,6717,6800,7024,7149,7297,7417,7583,7790,7927,8210,8412,8620,8772,8923,9139,9457,9658,9893,10167,10379,10588,10815,11199,11464,11807,12038,12203,12402,12513,12707,12927,13208,13462,13717,13833,13933,14165,14357,14600,14791,14911,15000,15092,15292,15489,15801,16025,16193,16262,16340,16516,16704,17001,17122,17315,17456,17579,17718,17840,18105,18524,18611,18741,18969,19280,19513,19791,20139,20272,20510,20672,21004,21291,21594,21876,21982,22136,22336,22655,22969,23333,23623,23784,23890,24123,24401,24778,25200,25518,25724,25876,26101,26432,26932,27271,27626,27856,28066,28390,28845,29251,29671,30091,30426,30679,31063,31450,31757,32093,32621,33125,33326,33587,34041,34451,35106,35595,35904,36210,36707,37180,37625,38306,38843,39023,39397,39863,40369,41049,41590,42028,42410,42709,43280,43862,44557,44845,45223,45550,45981,46544,47220,48004,48861,49528,49974,50289,50950,51618,52295,52968,53688,54033,54405,55066,55829,56671,57325,58037,58465,58839,59371,60042,60942,61448,61647,61910,62259,62985,63740,64340,65105,65520,66106,66341,67338,68159,68941,69676,70348,70727,70994,71656,72178,72692,73374,73991,74246,74497,74754,75318,75878,76338,76743,76945,77075,77565,77969,78315,78668,79126,79264,79582,79939,80386,80824,81234,81494,81647,81815,82095,82315,82567,82673,82853,82929,82988,83037,83122,83177
AR-02,-92.34091,34.89132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,80,89,115,124,142,149,153,158,179,189,205,234,243,278,285,310,318,355,371,398,407,422,448,496,511,519,532,545,558,560,578,611,633,669,681,691,698,715,743,752,764,778,779,792,804,822,839,839,867,870,883,892,910,927,945,951,960,981,992,1012,1033,1052,1077,1086,1097,1105,1138,1157,1190,1202,1218,1291,1335,1373,1402,1439,1460,1492,1511,1584,1640,1667,1701,1742,1784,1838,1884,1930,2017,2102,2149,2192,2235,2334,2401,2536,2652,2743,2826,2993,3076,3242,3347,3476,3606,3683,3765,3915,4101,4246,4386,4482,4613,4795,4982,5165,5280,5400,5501,5597,5778,5908,6092,6288,6493,6577,6727,6855,6987,7113,7246,7348,7417,7501,7715,7868,7983,8245,8358,8513,8639,8738,8865,9010,9130,9274,9415,9514,9601,9731,9839,10011,10099,10191,10303,10485,10669,10851,10990,11086,11177,11256,11341,11461,11638,11768,11870,11971,12027,12082,12162,12271,12448,12882,13010,13109,13265,13452,13608,13734,13891,14008,14129,14329,14531,14703,14873,14993,15070,15320,15469,15641,15877,16018,16171,16269,16410,16583,16714,16958,17146,17329,17489,17651,17809,18019,18294,18465,18627,18762,18855,19012,19227,19430,19676,19907,19998,20082,20380,20523,20720,20936,21168,21416,21536,21693,21978,22311,22626,22919,23098,23312,23616,24031,24470,24911,25378,25617,25874,26245,26618,27080,27541,27958,28252,28581,29028,29441,29867,30019,30284,30657,31004,31441,31985,32474,33008,33495,33840,34081,34637,35176,35651,36332,36920,37267,37608,38156,38739,39403,40163,40754,41095,41459,41995,42648,43359,43824,43989,44294,44856,45639,46397,47078,48230,48835,49334,49723,50724,51776,52634,53373,54103,54563,54823,55584,56242,56865,57655,58324,58623,58883,59331,59986,60625,61140,61616,61926,62124,62795,63307,63836,64342,64825,65142,65539,66052,66741,67358,67828,68191,68417,68591,69011,69365,69653,69798,70009,70121,70223,70251,70359,70397
AR-03,-94.06194,35.91352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,10,10,12,33,41,47,50,58,71,77,80,85,86,93,95,99,107,123,124,129,134,145,155,158,159,161,163,164,172,181,185,192,209,215,237,239,240,255,259,265,272,275,276,274,280,292,298,298,311,312,320,330,348,366,385,402,409,423,438,506,570,626,705,748,805,858,981,1092,1194,1336,1436,1577,1648,1889,1980,2157,2349,2506,2683,2790,3061,3406,3593,3761,4012,4114,4346,4479,4783,5003,5216,5450,5672,5895,6128,6658,6913,7132,7319,7561,7671,7985,8209,8382,8594,8755,8873,9110,9382,9609,9873,10052,10224,10524,10701,10960,11126,11465,11678,11902,12119,12259,12570,12844,12983,13213,13445,13658,13798,14004,14229,14389,14572,14809,15006,15170,15315,15463,15668,15781,15887,15979,16131,16276,16363,16479,16622,16701,16813,16989,17099,17332,17463,17546,17577,17674,17821,17981,18173,18450,18592,18715,18807,18974,19325,19670,19892,20115,20184,20274,20408,20529,20829,21289,21404,21503,21871,22105,22394,22621,23016,23191,23370,23621,23854,24105,24368,24532,24705,24832,25075,25351,25673,25886,26110,26208,26343,26559,26701,27081,27443,27696,27828,27998,28168,28407,28749,29036,29242,29416,29539,29809,30032,30287,30575,30925,31066,31210,31447,31690,31968,32322,32620,32956,33075,33343,33687,34181,34680,35166,35460,35711,36113,36651,37201,37771,38387,38631,39066,39462,39849,40438,41002,41504,41924,42260,42857,43398,43960,44245,44565,44858,45163,45731,46322,47195,47940,48582,48961,49244,49837,50453,50978,51763,52564,52916,53244,53814,54439,55305,56104,56881,57363,57777,58294,59079,60015,60637,60810,61006,61490,62104,63040,63864,65432,66158,66790,67189,68504,69586,70571,71440,72230,74235,74665,75960,76832,77496,78398,79126,79409,79750,80115,80856,81886,82479,82988,83273,83469,84294,84825,85328,85852,86257,86485,86713,87083,87638,88247,88686,89044,89212,89381,89738,89960,90240,90465,90732,90821,90899,90973,91244,91365
AR-04,-93.07935,34.23160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,19,51,53,67,74,78,88,94,103,120,133,167,172,179,200,211,239,259,305,316,333,353,381,397,401,413,425,429,441,455,456,468,490,501,511,521,545,562,575,600,617,617,635,653,655,690,708,717,717,738,746,789,814,863,882,948,1089,1100,1136,1157,1219,1244,1297,1314,1336,1372,1389,1423,1492,1533,1594,1642,1724,1773,1826,1887,2003,2080,2132,2196,2246,2304,2424,2516,2581,2654,2688,2761,2817,2935,3060,3154,3325,3476,3736,3793,3964,4047,4189,4283,4358,4439,4700,4754,4842,5018,5097,5172,5371,5605,5873,6333,6467,6592,6791,6903,7083,7254,7394,7576,7739,7921,8054,8276,8499,8698,8855,9058,9233,9409,9634,9828,9956,10111,10313,10460,10646,10821,11039,11275,11400,11594,11689,11928,12076,12228,12413,12544,12653,12757,12965,13126,13344,13476,13561,13634,13755,13911,14089,14277,14389,14477,14578,14629,14737,14929,15051,15149,15317,15399,15456,15547,15647,15854,16099,16189,16287,16444,16600,16854,17024,17195,17305,17415,17518,17714,17941,18124,18281,18502,18661,18783,18939,19132,19348,19515,19626,19705,19832,20031,20339,20549,20697,20772,20926,21062,21287,21579,21736,21910,22016,22144,22281,22521,22813,23142,23415,23539,23669,23821,24029,24329,24590,24855,25118,25238,25380,25742,26075,26401,26709,26864,26996,27311,27758,28083,28605,28915,29066,29309,29634,29942,30449,30937,31306,31595,31877,32322,32804,33337,33540,33834,34039,34425,34811,35221,35791,36498,36941,37230,37416,37977,38468,38899,39490,39998,40241,40523,40950,41631,42341,42985,43592,43859,44216,44614,45339,46121,46619,46832,46993,47233,47866,48603,49120,49943,50401,50708,50879,51672,52517,53162,53791,54484,54987,55240,55862,56314,56899,57618,58172,58350,58623,58831,59378,60034,60534,61007,61316,61440,61996,62363,62865,63185,63638,63815,64094,64434,65164,65940,66419,66770,66935,67084,67475,67762,68057,68241,68565,68708,68791,68841,69055,69106
CA-01,-121.59299,40.25125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,5,8,9,14,18,19,23,24,30,38,45,46,55,60,66,71,73,78,79,80,82,82,82,84,85,85,86,88,88,88,90,90,90,93,93,93,93,95,98,98,98,98,98,99,99,100,100,100,100,100,103,103,103,106,106,107,108,111,113,117,118,123,127,127,129,135,137,138,143,143,145,152,155,168,174,183,185,188,198,204,210,213,222,225,227,248,259,261,292,316,321,325,374,400,419,515,616,669,673,734,735,792,829,829,856,862,863,996,1035,1070,1095,1126,1199,1297,1428,1472,1570,1643,1646,1678,1848,1889,1956,2049,2137,2138,2138,2225,2331,2398,2526,2576,2584,2584,2600,2731,2741,2827,2834,2884,2884,3160,3197,3246,3294,3388,3404,3413,3415,3514,3611,3646,3702,3754,3806,3848,3907,3986,4048,4110,4195,4269,4373,4421,4508,4622,4670,4742,4822,4885,4908,4944,4958,5121,5124,5152,5172,5215,5292,5314,5347,5372,5410,5468,5509,5561,5590,5636,5692,5765,5814,5828,5907,5962,5997,6080,6179,6239,6261,6385,6424,6521,6569,6709,6770,6870,6926,6954,6992,7016,7064,7126,7224,7244,7353,7390,7437,7498,7534,7647,7703,7798,7875,7941,8056,8181,8329,8388,8533,8666,8717,8802,9015,9228,9344,9556,9990,10121,10424,10681,11048,11173,11471,12064,12226,12495,13095,13600,13948,13972,14160,14207,14500,15428,15805,16081,16560,17036,17102,17381,18375,18917,19276,19804,20669,20761,20821,20925,22316,22661,22994,23506,23576,23930,24622,24989,25482,25563,25755,26012,26158,26877,27432,27466,28074,28154,28424,28691,29167,29740,30172,30631,30868,31237,31409,31872,32397,32583,32927,33314,33421,33592,33689,34124,34556,34767,35050,35228,35344,35563,35885,36052,36290,36503,36655,36722,36944,37248,37336,37485,37654,37692,37757,38006,38153,38206,38245,38342,38373,38430,38471,38656,38729,38782
CA-02,-122.96486,38.69047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,5,5,7,7,7,8,15,16,24,23,49,62,63,70,82,94,109,123,134,153,173,197,216,231,255,286,294,302,309,324,341,352,355,354,367,378,388,405,417,426,428,435,440,451,462,495,495,508,511,513,523,536,550,556,561,566,571,589,603,617,628,641,651,664,686,702,716,753,790,804,841,873,895,926,974,1008,1055,1089,1106,1134,1140,1173,1213,1225,1246,1266,1303,1326,1361,1399,1432,1489,1496,1521,1557,1612,1675,1702,1741,1820,1876,1951,2079,2177,2359,2510,2671,2799,2898,3009,3285,3589,3609,3850,3951,4259,4367,4367,4457,4761,5034,5074,5259,5424,5477,5881,6150,6281,6464,6606,6666,6878,7001,7112,7230,7341,7542,7634,7775,7796,7968,8079,8299,8467,8576,8692,8853,8974,9069,9145,9359,9484,9700,9937,10020,10177,10340,10689,10819,11003,11115,11245,11643,11736,11845,12020,12094,12256,12424,12532,12620,12802,12896,12914,13110,13314,13609,13719,13697,13722,13912,14011,14171,14233,14297,14398,14465,14527,14570,14676,14693,14781,14963,15021,15099,15190,15290,15375,15446,15547,15627,15715,15739,15742,15938,15959,16068,16184,16309,16419,16545,16633,16722,16875,16981,17059,17165,17252,17337,17423,17497,17609,17637,17806,17906,17923,18016,18094,18110,18278,18391,18501,18586,18639,18703,18767,18804,19019,19139,19261,19375,19469,19547,19584,19819,19921,20022,20202,20238,20437,20601,20780,20927,21018,21249,21370,21447,21586,21826,22034,22230,22230,22559,22512,22891,23122,23560,23801,24039,24368,24605,24803,25083,25570,25920,26318,26566,26808,27179,27403,27902,28745,29186,29315,29655,30238,30626,31158,31548,31841,32021,32510,33072,33335,33658,33964,34140,34227,34964,35373,35829,36201,36630,37103,37451,37985,38327,39011,39436,39957,40502,40901,41217,41743,42102,42436,42706,43117,43373,43619,43838,44262,44385,44781,45111,45318,45612,45832,46021,46162,46286,46540,46798,46966,47178,47353,47410,47524,47718,47861,47926,48074,48237,48312,48425,48442
CA-03,-121.90936,38.65719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,7,7,7,8,8,9,11,12,13,18,19,21,23,32,34,47,52,57,61,62,85,94,107,119,139,139,142,170,194,222,248,258,271,276,285,293,309,346,348,360,372,377,382,416,430,430,435,435,470,478,489,500,500,502,503,557,575,575,582,592,593,625,639,640,672,672,675,677,682,709,716,716,732,742,742,746,754,806,828,829,842,846,848,885,891,908,917,929,929,968,969,1004,1047,1049,1090,1094,1137,1153,1153,1332,1393,1408,1417,1573,1672,1755,1838,1906,1938,1977,2072,2087,2501,2645,2645,2717,2790,2821,3293,3510,3650,3789,3851,3924,4015,4414,4555,4736,4925,4925,5020,5376,5546,5720,5898,6079,6138,6228,6295,6571,6907,6996,7184,7203,7269,7353,7693,7709,8009,8026,8170,8234,8697,8842,9019,9165,9506,9506,9551,9637,9902,10193,10285,10378,10433,10455,10712,10811,10916,11015,11134,11205,11264,11515,11564,11684,11772,11889,11959,11956,12006,12120,12277,12337,12423,12492,12522,12655,12822,12873,12983,13043,13103,13116,13241,13362,13430,13510,13572,13608,13626,13737,13803,13862,13914,13991,14045,14064,14160,14238,14299,14374,14440,14491,14505,14518,14686,14759,14816,14907,14946,14968,15093,15216,15278,15362,15440,15478,15510,15623,15772,15857,15997,16084,16153,16171,16447,16555,16703,16826,17024,17064,17102,17515,17677,17712,17976,18266,18369,18426,19013,19280,19510,19837,20060,20149,20221,21172,21728,22101,22193,22263,22643,23003,23903,24222,24742,25118,25727,25871,26075,27050,27701,28137,28874,29461,29533,29722,31006,32017,32844,33622,34252,34458,34815,36481,37282,37869,38692,38826,39006,39433,41021,41488,42025,42507,42627,43064,43749,45403,46108,46757,47448,47966,48446,48684,50319,51139,51606,52250,52959,53145,53605,54344,55411,55965,56365,56897,57004,57115,58117,58437,58723,59126,59544,59694,59810,60567,60759,61083,61308,61603,61690,61754,62325,62476,62729,62935,63030,63086,63140,63172,63635,63811,63923
CA-04,-120.34422,38.33231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,6,6,8,8,10,10,7,10,8,8,8,12,12,14,15,18,20,32,43,45,54,69,85,88,100,127,142,153,157,160,167,167,183,184,200,205,206,210,214,217,220,221,223,225,224,229,232,240,245,246,249,252,261,263,267,283,292,297,301,310,312,314,321,328,330,333,339,340,344,348,349,351,355,367,367,367,376,383,385,390,396,411,421,428,455,467,466,485,500,535,560,590,607,629,641,659,687,706,731,746,798,845,895,947,989,1005,1019,1080,1125,1165,1215,1265,1283,1306,1418,1460,1586,1677,1709,1788,1837,1877,2100,2294,2332,2385,2459,2490,2528,2736,2823,2883,3068,3113,3201,3310,3660,3806,3883,4044,4092,4097,4187,4395,4611,4728,4892,4939,4955,4956,5213,5258,5464,5589,5742,5743,6085,6146,6332,6621,6901,6941,6941,6986,7237,7456,7524,7615,7680,7721,7885,7980,8079,8140,8276,8348,8381,8531,8608,8712,8754,8862,8930,8965,8966,9081,9154,9200,9305,9351,9374,9460,9506,9575,9593,9649,9683,9725,9847,9905,9929,9995,10035,10074,10102,10173,10215,10261,10312,10357,10378,10406,10515,10555,10589,10643,10676,10687,10696,10767,10848,10874,10911,10952,10963,10983,11123,11204,11243,11294,11376,11399,11411,11550,11625,11710,11778,11889,11913,11939,12146,12255,12316,12472,12590,12604,12644,12911,13031,13140,13341,13565,13572,13766,14107,14407,14600,14836,15033,15052,15236,15818,16124,16416,16501,16907,16921,17315,17819,18053,18465,18903,19514,19909,20577,21227,21955,22866,23604,24026,24300,25148,25581,26656,27677,28341,28827,29282,30054,31242,31786,32397,32899,33300,33930,34539,35185,35734,36307,36892,37090,37665,38378,39275,39700,40275,40833,41284,41756,42295,43235,43728,44174,44596,45236,45382,46066,46568,47083,47371,47627,47888,48034,48146,48699,49077,49284,49595,49938,50038,50184,50588,50770,50962,51146,51339,51416,51545,51950,52085,52251,52363,52503,52558,52639,52788,53114,53195,53215
